group,celltype,PC1,PC2
patient=CID3586__celltype=B-cell,B-cell,44.831845260060206,-66.3865828572716
patient=CID3586__celltype=T-cells,T-cells,-309.74451723299194,16.38822237754703
patient=CID3586__celltype=equivocal,equivocal,90.65512769606806,45.34959371432354
patient=CID3838__celltype=Myeloid,Myeloid,67.32353522893132,74.8216149201521
patient=CID3838__celltype=T-cells,T-cells,-180.0932966373594,23.122455330029922
patient=CID3921__celltype=B-cell,B-cell,123.8062681866859,-17.978312020180397
patient=CID3921__celltype=Endothelial,Endothelial,111.18586707926339,3.9768049907628242
patient=CID3921__celltype=Epithelial,Epithelial,106.58465552827774,90.09460995705791
patient=CID3921__celltype=Myeloid,Myeloid,70.87095555472033,21.468383711023723
patient=CID3921__celltype=T-cells,T-cells,-183.67511620359545,-28.16279247015531
patient=CID3941__celltype=T-cells,T-cells,40.34333442100901,-62.45118274392617
patient=CID3946__celltype=equivocal,equivocal,105.68662620515975,-31.12967798325456
patient=CID3948__celltype=B-cell,B-cell,98.98505003794689,-14.223294216958267
patient=CID3948__celltype=Epithelial,Epithelial,80.21102123171447,20.67390377975135
patient=CID3948__celltype=T-cells,T-cells,-96.0242603567789,-120.35869125518201
patient=CID3963__celltype=Epithelial,Epithelial,159.10772091248631,31.878675500285585
patient=CID3963__celltype=Myeloid,Myeloid,67.0329582254185,3.549200716407702
patient=CID3963__celltype=T-cells,T-cells,-293.2501058076483,19.802537282661252
patient=CID4040__celltype=Endothelial,Endothelial,87.32803106873095,40.10918253779775
patient=CID4040__celltype=T-cells,T-cells,-182.95599844964468,33.926394556559394
patient=CID4066__celltype=Endothelial,Endothelial,31.83611648498408,-1.8350401485573347
patient=CID4066__celltype=Myeloid,Myeloid,101.42714650181823,-17.61347905545214
patient=CID4066__celltype=T-cells,T-cells,-204.85983287165698,-66.63930606507165
patient=CID4066__celltype=equivocal,equivocal,-22.074438250313367,52.70218256420909
patient=CID4067__celltype=Epithelial,Epithelial,-199.58245130863725,64.27965092941515
patient=CID4067__celltype=Myeloid,Myeloid,83.17770864739518,-30.11974317232094
patient=CID4067__celltype=T-cells,T-cells,-29.66788988490657,-122.42341764933592
patient=CID4290A__celltype=Endothelial,Endothelial,62.766421051783084,-30.784018121259333
patient=CID4290A__celltype=Fibroblasts,Fibroblasts,85.97833681744584,-30.555612481905786
patient=CID4290A__celltype=Myeloid,Myeloid,55.85456321463844,-52.48951141436455
patient=CID4290A__celltype=T-cells,T-cells,13.413049739771376,-96.71218629783814
patient=CID4398__celltype=T-cells,T-cells,-188.37617037160717,-90.91936424931832
patient=CID44041__celltype=Fibroblasts,Fibroblasts,-73.69555138664,-3.6337131201103885
patient=CID44041__celltype=T-cells,T-cells,-54.36869505858811,-128.74619788190262
patient=CID4461__celltype=Epithelial,Epithelial,68.53969584494688,-23.39411737700081
patient=CID4463__celltype=Epithelial,Epithelial,-14.116241164484771,74.08927923305924
patient=CID4463__celltype=T-cells,T-cells,39.617145313640656,-47.337484621759124
patient=CID4465__celltype=Endothelial,Endothelial,102.37261528500551,-21.178905629831867
patient=CID4465__celltype=Fibroblasts,Fibroblasts,50.589902708276334,-44.64520841301805
patient=CID4465__celltype=equivocal,equivocal,53.57660864024028,-39.96432581166612
patient=CID4471__celltype=Endothelial,Endothelial,-197.66210900779998,59.03231105715679
patient=CID4471__celltype=Epithelial,Epithelial,-95.07224420357565,97.33459187339227
patient=CID4471__celltype=Myeloid,Myeloid,83.29132563883375,-17.008045645972942
patient=CID4471__celltype=T-cells,T-cells,-60.86743479657071,-79.88235434821662
patient=CID4471__celltype=equivocal,equivocal,-172.44611132344895,103.42946828504577
patient=CID4495__celltype=B-cell,B-cell,-75.2923957698414,37.36556954328869
patient=CID4495__celltype=Fibroblasts,Fibroblasts,148.83598071928898,19.6929542016278
patient=CID4495__celltype=Myeloid,Myeloid,-19.745578572470194,50.82979172648115
patient=CID4495__celltype=equivocal,equivocal,95.45552804507311,42.56739021145186
patient=CID44971__celltype=B-cell,B-cell,29.560420778056127,-48.759356515934364
patient=CID44971__celltype=Endothelial,Endothelial,97.82995713691803,0.689454223569121
patient=CID44971__celltype=Epithelial,Epithelial,71.23340775375264,109.92256191065009
patient=CID44971__celltype=Fibroblasts,Fibroblasts,-14.754229050983803,40.70181674765772
patient=CID44971__celltype=Myeloid,Myeloid,40.87736454261792,31.14853063076463
patient=CID44971__celltype=equivocal,equivocal,27.44725218958683,122.91144513205083
patient=CID44991__celltype=B-cell,B-cell,13.317704886317472,-4.7041970391526835
patient=CID44991__celltype=Fibroblasts,Fibroblasts,97.24775164685832,-12.808368924001801
patient=CID44991__celltype=equivocal,equivocal,166.9058187039496,14.161580321668485
patient=CID4513__celltype=Myeloid,Myeloid,-195.34887619194976,60.711066914252335
patient=CID4513__celltype=T-cells,T-cells,-211.15608445486754,21.575122184244428
patient=CID4513__celltype=equivocal,equivocal,44.6937016512991,98.00055740447955
patient=CID4515__celltype=B-cell,B-cell,8.045612525202616,-88.14840417840199
patient=CID4515__celltype=Myeloid,Myeloid,35.256143854887625,0.5177761913773126
patient=CID4515__celltype=T-cells,T-cells,-4.985207134001318,-91.00269049271863
patient=CID4515__celltype=equivocal,equivocal,132.2561462198084,1.2105010257396596
patient=CID45171__celltype=Epithelial,Epithelial,64.8349069598991,86.91818055318457
patient=CID45171__celltype=T-cells,T-cells,-183.22437323127477,-62.53651520626213
patient=CID4523__celltype=Myeloid,Myeloid,102.84787858286985,-20.421264830822693
